,0,1,2,3
msfem.local_grids_max_sys_speedup,1.0,1.963,3.533,5.889
msfem.local_grids_max_sys_parallel_efficiency,1.0,0.9815,0.88325,0.736125
msfem.local_grids_max_sys_abspart,0.035,0.026,0.007,0.003
msfem.local_grids_max_sys_wallpart,0.001,0.001,0.001,0.0
msfem.local_grids_avg_sys_speedup,1.0,2.044,3.984,7.638
msfem.local_grids_avg_sys_parallel_efficiency,1.0,1.022,0.996,0.95475
msfem.local_grids_avg_sys_abspart,0.055,0.047,0.014,0.007
msfem.local_grids_avg_sys_wallpart,0.001,0.0,0.0,0.0
msfem.local_grids_max_wall_speedup,1.0,1.967,3.943,7.458
msfem.local_grids_max_wall_parallel_efficiency,1.0,0.9835,0.98575,0.93225
msfem.local_grids_max_wall_abspart,0.001,0.001,0.001,0.0
msfem.local_grids_max_wall_wallpart,0.001,0.001,0.001,0.0
msfem.local_grids_avg_wall_speedup,1.0,2.011,3.971,7.788
msfem.local_grids_avg_wall_parallel_efficiency,1.0,1.0055,0.99275,0.9735
msfem.local_grids_avg_wall_abspart,0.001,0.001,0.001,0.0
msfem.local_grids_avg_wall_wallpart,0.001,0.001,0.001,0.0
msfem.local_grids_max_usr_threadeff,0.603,0.725,0.749,0.75
msfem.local_grids_avg_usr_threadeff,0.493,0.502,0.497,0.488
msfem.coarse.assemble_max_usr_speedup,1.0,1.95,3.916,7.686
msfem.coarse.assemble_max_usr_parallel_efficiency,1.0,0.975,0.979,0.96075
msfem.coarse.assemble_max_usr_abspart,0.583,0.568,0.517,0.409
msfem.coarse.assemble_max_usr_wallpart,0.469,0.392,0.265,0.121
msfem.coarse.assemble_avg_usr_speedup,1.0,1.999,3.999,8.007
msfem.coarse.assemble_avg_usr_parallel_efficiency,1.0,0.9995,0.99975,1.000875
msfem.coarse.assemble_avg_usr_abspart,0.494,0.476,0.47,0.443
msfem.coarse.assemble_avg_usr_wallpart,0.393,0.32,0.218,0.097
msfem.coarse.assemble_max_sys_speedup,1.0,0.556,0.833,0.556
msfem.coarse.assemble_max_sys_parallel_efficiency,1.0,0.278,0.20825,0.0695
msfem.coarse.assemble_max_sys_abspart,0.003,0.009,0.003,0.003
msfem.coarse.assemble_max_sys_wallpart,0.0,0.0,0.0,0.0
msfem.coarse.assemble_avg_sys_speedup,1.0,1.926,3.352,7.697
msfem.coarse.assemble_avg_sys_parallel_efficiency,1.0,0.963,0.838,0.962125
msfem.coarse.assemble_avg_sys_abspart,0.002,0.002,0.001,0.0
msfem.coarse.assemble_avg_sys_wallpart,0.0,0.0,0.0,0.0
msfem.coarse.assemble_max_wall_speedup,1.0,1.95,3.916,7.687
msfem.coarse.assemble_max_wall_parallel_efficiency,1.0,0.975,0.979,0.960875
msfem.coarse.assemble_max_wall_abspart,0.47,0.393,0.265,0.121
msfem.coarse.assemble_max_wall_wallpart,0.47,0.393,0.265,0.121
