,0,1,2
msfem.idFine_avg_wall_wallpart,0.016,0.014,0.007
msfem.idFine_max_usr_threadeff,0.998,0.996,0.999
msfem.idFine_avg_usr_threadeff,0.997,0.997,0.997
msfem.coarse.linearSolver_max_usr_speedup,1.0,1.973,1.327
msfem.coarse.linearSolver_max_usr_parallel_efficiency,1.0,0.9865,0.33175
msfem.coarse.linearSolver_max_usr_abspart,0.116,0.113,0.259
msfem.coarse.linearSolver_max_usr_wallpart,0.11,0.099,0.147
msfem.coarse.linearSolver_avg_usr_speedup,1.0,1.997,1.395
msfem.coarse.linearSolver_avg_usr_parallel_efficiency,1.0,0.9985,0.34875
msfem.coarse.linearSolver_avg_usr_abspart,0.08,0.08,0.191
msfem.coarse.linearSolver_avg_usr_wallpart,0.076,0.067,0.096
msfem.coarse.linearSolver_max_sys_speedup,1.0,1.833,1.023
msfem.coarse.linearSolver_max_sys_parallel_efficiency,1.0,0.9165,0.25575
msfem.coarse.linearSolver_max_sys_abspart,0.178,0.16,0.384
msfem.coarse.linearSolver_max_sys_wallpart,0.001,0.001,0.002
msfem.coarse.linearSolver_avg_sys_speedup,1.0,2.012,1.146
msfem.coarse.linearSolver_avg_sys_parallel_efficiency,1.0,1.006,0.2865
msfem.coarse.linearSolver_avg_sys_abspart,0.087,0.077,0.21
msfem.coarse.linearSolver_avg_sys_wallpart,0.0,0.0,0.001
msfem.coarse.linearSolver_max_wall_speedup,1.0,1.974,1.33
msfem.coarse.linearSolver_max_wall_parallel_efficiency,1.0,0.987,0.3325
msfem.coarse.linearSolver_max_wall_abspart,0.111,0.1,0.148
msfem.coarse.linearSolver_max_wall_wallpart,0.111,0.1,0.148
msfem.coarse.linearSolver_avg_wall_speedup,1.0,1.997,1.394
msfem.coarse.linearSolver_avg_wall_parallel_efficiency,1.0,0.9985,0.3485
msfem.coarse.linearSolver_avg_wall_abspart,0.076,0.068,0.097
msfem.coarse.linearSolver_avg_wall_wallpart,0.076,0.068,0.097
msfem.coarse.linearSolver_max_usr_threadeff,0.993,0.993,0.994
msfem.coarse.linearSolver_avg_usr_threadeff,0.992,0.992,0.991
msfem.algorithm_max_usr_speedup,1.0,1.922,2.973
msfem.algorithm_max_usr_parallel_efficiency,1.0,0.961,0.74325
msfem.algorithm_max_usr_abspart,1.0,1.0,1.0
msfem.algorithm_max_usr_wallpart,0.952,0.88,0.568
msfem.algorithm_avg_usr_speedup,1.0,1.986,3.333
msfem.algorithm_avg_usr_parallel_efficiency,1.0,0.993,0.83325
msfem.algorithm_avg_usr_abspart,1.0,1.0,1.0
msfem.algorithm_avg_usr_wallpart,0.942,0.844,0.503
msfem.algorithm_max_sys_speedup,1.0,1.647,2.205
msfem.algorithm_max_sys_parallel_efficiency,1.0,0.8235,0.55125
msfem.algorithm_max_sys_abspart,1.0,1.0,1.0
msfem.algorithm_max_sys_wallpart,0.006,0.006,0.005
msfem.algorithm_avg_sys_speedup,1.0,1.77,2.75
msfem.algorithm_avg_sys_parallel_efficiency,1.0,0.885,0.6875
msfem.algorithm_avg_sys_abspart,1.0,1.0,1.0
msfem.algorithm_avg_sys_wallpart,0.005,0.005,0.003
