,0,1,2,3
msfem.all_avg_sys_parallel_efficiency,1.0,0.8455,0.65875,0.593
msfem.all_avg_sys_abspart,1.0,1.0,1.0,1.0
msfem.all_avg_sys_wallpart,0.005,0.005,0.004,0.002
msfem.all_max_wall_speedup,1.0,1.638,2.115,1.878
msfem.all_max_wall_parallel_efficiency,1.0,0.819,0.52875,0.23475
msfem.all_max_wall_abspart,1.0,1.0,1.0,1.0
msfem.all_max_wall_wallpart,1.0,1.0,1.0,1.0
msfem.all_avg_wall_speedup,1.0,1.639,2.119,1.883
msfem.all_avg_wall_parallel_efficiency,1.0,0.8195,0.52975,0.235375
msfem.all_avg_wall_abspart,1.0,1.0,1.0,1.0
msfem.all_avg_wall_wallpart,1.0,1.0,1.0,1.0
msfem.all_max_usr_threadeff,0.948,0.907,0.698,0.392
msfem.all_avg_usr_threadeff,0.94,0.81,0.637,0.284
msfem.idFine_max_usr_speedup,1.0,1.746,3.064,6.056
msfem.idFine_max_usr_parallel_efficiency,1.0,0.873,0.766,0.757
msfem.idFine_max_usr_abspart,0.018,0.018,0.017,0.014
msfem.idFine_max_usr_wallpart,0.017,0.016,0.012,0.005
msfem.idFine_avg_usr_speedup,1.0,2.002,4.005,8.008
msfem.idFine_avg_usr_parallel_efficiency,1.0,1.001,1.00125,1.001
msfem.idFine_avg_usr_abspart,0.017,0.016,0.013,0.013
msfem.idFine_avg_usr_wallpart,0.016,0.013,0.008,0.004
msfem.idFine_max_sys_speedup,1.0,2.0,2.0,2.0
msfem.idFine_max_sys_parallel_efficiency,1.0,1.0,0.5,0.25
msfem.idFine_max_sys_abspart,0.015,0.011,0.018,0.029
msfem.idFine_max_sys_wallpart,0.0,0.0,0.0,0.0
msfem.idFine_avg_sys_speedup,1.0,1.904,3.749,7.139
msfem.idFine_avg_sys_parallel_efficiency,1.0,0.952,0.93725,0.892375
msfem.idFine_avg_sys_abspart,0.003,0.003,0.002,0.002
msfem.idFine_avg_sys_wallpart,0.0,0.0,0.0,0.0
msfem.idFine_max_wall_speedup,1.0,1.744,3.073,6.09
msfem.idFine_max_wall_parallel_efficiency,1.0,0.872,0.76825,0.76125
msfem.idFine_max_wall_abspart,0.017,0.016,0.012,0.005
msfem.idFine_max_wall_wallpart,0.017,0.016,0.012,0.005
msfem.idFine_avg_wall_speedup,1.0,2.002,4.005,8.011
msfem.idFine_avg_wall_parallel_efficiency,1.0,1.001,1.00125,1.001375
msfem.idFine_avg_wall_abspart,0.016,0.013,0.008,0.004
msfem.idFine_avg_wall_wallpart,0.016,0.013,0.008,0.004
msfem.idFine_max_usr_threadeff,0.997,0.996,1.0,1.002
msfem.idFine_avg_usr_threadeff,0.997,0.997,0.997,0.997
msfem.coarse.assemble_max_usr_speedup,1.0,1.986,3.481,6.832
msfem.coarse.assemble_max_usr_parallel_efficiency,1.0,0.993,0.87025,0.854
msfem.coarse.assemble_max_usr_abspart,0.582,0.502,0.481,0.387
msfem.coarse.assemble_max_usr_wallpart,0.552,0.455,0.335,0.152
msfem.coarse.assemble_avg_usr_speedup,1.0,2.0,4.002,8.011
msfem.coarse.assemble_avg_usr_parallel_efficiency,1.0,1.0,1.0005,1.001375
msfem.coarse.assemble_avg_usr_abspart,0.566,0.538,0.442,0.44
msfem.coarse.assemble_avg_usr_wallpart,0.532,0.436,0.282,0.125
msfem.coarse.assemble_max_sys_speedup,1.0,1.286,1.5,4.5
msfem.coarse.assemble_max_sys_parallel_efficiency,1.0,0.643,0.375,0.5625
msfem.coarse.assemble_max_sys_abspart,0.034,0.037,0.053,0.029
msfem.coarse.assemble_max_sys_wallpart,0.0,0.0,0.0,0.0
msfem.coarse.assemble_avg_sys_speedup,1.0,2.077,5.336,14.516
msfem.coarse.assemble_avg_sys_parallel_efficiency,1.0,1.0385,1.334,1.8145
msfem.coarse.assemble_avg_sys_abspart,0.007,0.006,0.004,0.002
msfem.coarse.assemble_avg_sys_wallpart,0.0,0.0,0.0,0.0
msfem.coarse.assemble_max_wall_speedup,1.0,1.986,3.48,6.832
msfem.coarse.assemble_max_wall_parallel_efficiency,1.0,0.993,0.87,0.854
msfem.coarse.assemble_max_wall_abspart,0.553,0.456,0.336,0.152
msfem.coarse.assemble_max_wall_wallpart,0.553,0.456,0.336,0.152
msfem.coarse.assemble_avg_wall_speedup,1.0,2.0,4.002,8.012
msfem.coarse.assemble_avg_wall_parallel_efficiency,1.0,1.0,1.0005,1.0015
msfem.coarse.assemble_avg_wall_abspart,0.533,0.437,0.282,0.125
msfem.coarse.assemble_avg_wall_wallpart,0.533,0.437,0.282,0.125
msfem.coarse.assemble_max_usr_threadeff,0.998,0.998,0.998,0.998
msfem.coarse.assemble_avg_usr_threadeff,0.998,0.998,0.998,0.998
proxy.add_max_usr_speedup,1.0,1.924,3.432,6.074
proxy.add_max_usr_parallel_efficiency,1.0,0.962,0.858,0.75925
proxy.add_max_usr_abspart,0.031,0.028,0.026,0.023
proxy.add_max_usr_wallpart,0.03,0.025,0.018,0.009
proxy.add_avg_usr_speedup,1.0,1.999,4.009,8.091
proxy.add_avg_usr_parallel_efficiency,1.0,0.9995,1.00225,1.011375
proxy.add_avg_usr_abspart,0.029,0.027,0.022,0.022
