,0,1,2,3
proxy.add_avg_sys_abspart,0.006,0.005,0.004,0.002
proxy.add_avg_sys_wallpart,0.0,0.0,0.0,0.0
proxy.add_max_wall_speedup,1.0,2.153,3.329,6.691
proxy.add_max_wall_parallel_efficiency,1.0,1.0765,0.83225,0.836375
proxy.add_max_wall_abspart,0.026,0.016,0.009,0.003
proxy.add_max_wall_wallpart,0.026,0.016,0.009,0.003
proxy.add_avg_wall_speedup,1.0,2.002,4.003,8.05
proxy.add_avg_wall_parallel_efficiency,1.0,1.001,1.00075,1.00625
proxy.add_avg_wall_abspart,0.021,0.014,0.006,0.002
proxy.add_avg_wall_wallpart,0.021,0.014,0.006,0.002
proxy.add_max_usr_threadeff,1.0,1.001,1.007,0.988
proxy.add_avg_usr_threadeff,0.997,0.997,0.997,0.999
msfem.coarse.linearSolver_max_usr_speedup,1.0,1.2,1.0,1.0
msfem.coarse.linearSolver_max_usr_parallel_efficiency,1.0,0.6,0.25,0.125
msfem.coarse.linearSolver_max_usr_abspart,0.001,0.001,0.002,0.002
msfem.coarse.linearSolver_max_usr_wallpart,0.001,0.001,0.001,0.0
msfem.coarse.linearSolver_avg_usr_speedup,1.0,1.306,1.252,1.292
msfem.coarse.linearSolver_avg_usr_parallel_efficiency,1.0,0.653,0.313,0.1615
msfem.coarse.linearSolver_avg_usr_abspart,0.001,0.001,0.002,0.002
msfem.coarse.linearSolver_avg_usr_wallpart,0.0,0.0,0.0,0.0
msfem.coarse.linearSolver_max_sys_speedup,1.0,1.0,1.0,1.0
msfem.coarse.linearSolver_max_sys_parallel_efficiency,1.0,0.5,0.25,0.125
msfem.coarse.linearSolver_max_sys_abspart,0.032,0.047,0.069,0.065
msfem.coarse.linearSolver_max_sys_wallpart,0.0,0.0,0.0,0.0
msfem.coarse.linearSolver_avg_sys_speedup,1.0,1.114,1.021,0.987
msfem.coarse.linearSolver_avg_sys_parallel_efficiency,1.0,0.557,0.25525,0.123375
msfem.coarse.linearSolver_avg_sys_abspart,0.004,0.007,0.014,0.017
msfem.coarse.linearSolver_avg_sys_wallpart,0.0,0.0,0.0,0.0
msfem.coarse.linearSolver_max_wall_speedup,1.0,1.261,1.16,1.16
msfem.coarse.linearSolver_max_wall_parallel_efficiency,1.0,0.6305,0.29,0.145
msfem.coarse.linearSolver_max_wall_abspart,0.001,0.001,0.001,0.0
msfem.coarse.linearSolver_max_wall_wallpart,0.001,0.001,0.001,0.0
msfem.coarse.linearSolver_avg_wall_speedup,1.0,1.252,1.175,1.153
msfem.coarse.linearSolver_avg_wall_parallel_efficiency,1.0,0.626,0.29375,0.144125
msfem.coarse.linearSolver_avg_wall_abspart,0.001,0.001,0.001,0.0
msfem.coarse.linearSolver_avg_wall_wallpart,0.001,0.001,0.001,0.0
msfem.coarse.linearSolver_max_usr_threadeff,1.034,1.087,1.2,1.2
msfem.coarse.linearSolver_avg_usr_threadeff,0.851,0.815,0.798,0.759
msfem.coarse.assemble_max_usr_speedup,1.0,1.933,3.948,5.884
msfem.coarse.assemble_max_usr_parallel_efficiency,1.0,0.9665,0.987,0.7355
msfem.coarse.assemble_max_usr_abspart,0.52,0.441,0.315,0.208
msfem.coarse.assemble_max_usr_wallpart,0.439,0.306,0.13,0.057
