,0,1,2,3
msfem.all_avg_sys_scaleup,1.0,1.14,1.078,0.876
msfem.all_avg_sys_abspart,1.0,1.0,1.0,1.0
msfem.all_avg_sys_wallpart,0.006,0.005,0.004,0.004
msfem.all_max_wall_scaleup,1.0,1.062,0.742,0.572
msfem.all_max_wall_abspart,1.0,1.0,1.0,1.0
msfem.all_max_wall_wallpart,1.0,1.0,1.0,1.0
msfem.all_avg_wall_scaleup,1.0,1.065,0.735,0.571
msfem.all_avg_wall_abspart,1.0,1.0,1.0,1.0
msfem.all_avg_wall_wallpart,1.0,1.0,1.0,1.0
msfem.all_max_usr_threadeff,0.963,0.897,0.956,0.97
msfem.all_avg_usr_threadeff,0.923,0.882,0.897,0.897
msfem.local_grids_max_usr_scaleup,1.0,1.0,1.0,1.0
msfem.local_grids_max_usr_abspart,0.0,0.0,0.0,0.0
msfem.local_grids_max_usr_wallpart,0.0,0.0,0.0,0.0
msfem.local_grids_avg_usr_scaleup,1.0,0.679,0.474,0.425
msfem.local_grids_avg_usr_abspart,0.0,0.0,0.0,0.0
msfem.local_grids_avg_usr_wallpart,0.0,0.0,0.0,0.0
msfem.local_grids_max_sys_scaleup,1.0,1.0,1.0,1.0
msfem.local_grids_max_sys_abspart,0.024,0.024,0.02,0.016
msfem.local_grids_max_sys_wallpart,0.0,0.0,0.0,0.0
msfem.local_grids_avg_sys_scaleup,1.0,1.1,1.247,1.701
msfem.local_grids_avg_sys_abspart,0.002,0.002,0.002,0.001
msfem.local_grids_avg_sys_wallpart,0.0,0.0,0.0,0.0
msfem.local_grids_max_wall_scaleup,1.0,1.0,1.0,0.667
msfem.local_grids_max_wall_abspart,0.0,0.0,0.0,0.0
msfem.local_grids_max_wall_wallpart,0.0,0.0,0.0,0.0
msfem.local_grids_avg_wall_scaleup,1.0,1.122,0.547,0.565
msfem.local_grids_avg_wall_abspart,0.0,0.0,0.0,0.0
msfem.local_grids_avg_wall_wallpart,0.0,0.0,0.0,0.0
msfem.local_grids_max_usr_threadeff,5.0,5.0,5.0,3.333
msfem.local_grids_avg_usr_threadeff,0.873,1.443,1.006,1.161
msfem.coarse.linearSolver_max_usr_scaleup,1.0,1.119,0.924,0.471
msfem.coarse.linearSolver_max_usr_abspart,0.51,0.52,0.412,0.615
msfem.coarse.linearSolver_max_usr_wallpart,0.491,0.466,0.394,0.596
msfem.coarse.linearSolver_avg_usr_scaleup,1.0,1.352,2.032,0.663
msfem.coarse.linearSolver_avg_usr_abspart,0.373,0.308,0.139,0.33
msfem.coarse.linearSolver_avg_usr_wallpart,0.344,0.271,0.124,0.296
msfem.coarse.linearSolver_max_sys_scaleup,1.0,0.71,0.957,0.629
msfem.coarse.linearSolver_max_sys_abspart,0.537,0.738,0.469,0.556
msfem.coarse.linearSolver_max_sys_wallpart,0.004,0.006,0.003,0.004
msfem.coarse.linearSolver_avg_sys_scaleup,1.0,1.461,3.885,1.194
msfem.coarse.linearSolver_avg_sys_abspart,0.371,0.29,0.103,0.272
msfem.coarse.linearSolver_avg_sys_wallpart,0.002,0.002,0.0,0.001
msfem.coarse.linearSolver_max_wall_scaleup,1.0,1.119,0.931,0.474
